Date,Particulars,Voucher No.,GSTIN/UIN,Narration,Quantity,Rate,Value,Gross Total,GST Register Sales @ 18 %,Output CGST @ 9%,Output SGST @ 9%,ROUND OFF,GST Unregister Sales @ 18 %,DELIVERY CHARGES & SERVICES
4/1/2024 0:00,HOTEL RAMANAS,1,33AADFH1142H1ZY,Inv No:01,16,1161.86,18589.76,21936,18589.76,1673.07,1673.07,0.1,0,0
4/1/2024 0:00,WALK IN CUSTOMER,2,,Inv No:02,3,1140.68,3422.04,4038,0,307.98,307.98,0,3422.04,0
4/2/2024 0:00,HOTEL RAMANAS,4,33AADFH1142H1ZY,Inv No:04,10,1161.86,11618.6,13710,11618.6,1045.67,1045.67,0.06,0,0
4/2/2024 0:00,WALK IN CUSTOMER,3,,Inv No:03,6,1140.68,6844.08,8076,0,615.96,615.96,0,6844.08,0
4/3/2024 0:00,SRI ROYAL DESIGN,7,33ACLFS8341K1ZP,Inv No:07,5,1354.24,6771.2,7990,6771.2,609.41,609.41,0.02,0,0
4/3/2024 0:00,WALK IN CUSTOMER,8,,Inv No:08,5,1140.68,5703.4,6730,0,513.3,513.3,0,5703.4,0
4/3/2024 0:00,"SCM GARMENTS [P] LTD.,",6,33AAJCS7850A1ZI,Inv No:06,1,1388.13,1388.13,1663,1388.13,124.93,124.93,0.01,0,25
4/4/2024 0:00,AKSHAYA CANTEEN,9,33ABWFA2536N1ZZ,Inv No:09,20,1342.37,26847.4,32270,26847.4,2416.26,2416.26,0.08,0,590
4/5/2024 0:00,"SOWPARNIKA INDUSTRIES[P] LTD.,",12,33AASCS1234R1ZS,Inv No:012,19,1517.8,28838.2,34590,28838.2,2595.43,2595.43,0.44,0,560.5
4/5/2024 0:00,WALK IN CUSTOMER,14,,Inv No:014,6,1140.68,6844.08,8076,0,615.96,615.96,0,6844.08,0
4/5/2024 0:00,"SCM GARMENTS [P] LTD.,",5,33AAJCS7850A1ZI,Inv No:05,4,1388.13,5552.52,6652,5552.52,499.72,499.72,0.04,0,100
4/5/2024 0:00,"SCM GARMENTS [P] LTD.,",10,33AAJCS7850A1ZI,Inv No:010,67,1388.13,93004.71,111421,93004.71,8370.42,8370.42,0.45,0,1675
4/5/2024 0:00,"SCM GARMENTS [P] LTD.,",11,33AAJCS7850A1ZI,Inv No:011,29,1388.13,40255.77,48227,40255.77,3623.02,3623.02,0.19,0,725
4/5/2024 0:00,"SCM GARMENTS [P] LTD.,",13,33AAJCS7850A1ZI,Inv No:013,9,1388.13,12493.17,14967,12493.17,1124.39,1124.39,0.05,0,225
4/6/2024 0:00,HOTEL RAMANAS,15,33AADFH1142H1ZY,Inv No:015,53,1140.68,60456.04,71338,60456.04,5441.04,5441.04,0.12,0,0
4/6/2024 0:00,KOKARACKO PALLADAM ROAD,16,33BCHPS4589N1ZR,Inv No:016,24,1331.35,31952.4,37704,31952.4,2875.7,2875.7,0.2,0,0
4/6/2024 0:00,AAHA DOSAI,19,,Inv No:019,5,1466.1,7330.5,8650,7330.5,659.75,659.75,0,0,0
4/6/2024 0:00,ANNAPOORNA MILLOR,17,33ABVFA9564F1ZZ,Inv No:017,27,1161.86,31370.22,37017,31370.22,2823.33,2823.33,0.12,0,0
4/6/2024 0:00,ANNAPOORNA RAILWAY,18,33ABVFA9564F1ZZ,Inv No:018,50,1161.86,58093,68550,58093,5228.36,5228.36,0.28,0,0
4/6/2024 0:00,SATHY SILKS PRIVATE LIMITED,20,33AACCG6357R1Z2,Inv No:020,5,1496.6,7483,8978,7483,673.47,673.47,0.56,0,147.5
4/6/2024 0:00,SARVESWARA SAMAIYAL SANGAMAM,21,33AAOPU6569J1ZV,Inv No:021,2,1468.64,2937.28,3466,2937.28,264.36,264.36,0,0,0
4/8/2024 0:00,WALK IN CUSTOMER,22,,Inv No:022,5,1140.68,5703.4,6730,0,513.3,513.3,0,5703.4,0
4/8/2024 0:00,WALK IN CUSTOMER,23,,Inv No:023,4,1140.68,4562.72,5384,0,410.64,410.64,0,4562.72,0
4/8/2024 0:00,"SCM GARMENTS [P] LTD.,",24,33AAJCS7850A1ZI,Inv No:024,2,1366.96,2733.92,3276,2733.92,246.05,246.05,0.02,0,50
4/9/2024 0:00,SRI ROYAL DESIGN,25,33ACLFS8341K1ZP,Inv No:025,5,1333.06,6665.3,7865,6665.3,599.88,599.88,0.06,0,0
4/10/2024 0:00,WALK IN CUSTOMER,26,,Inv No:026,4,1140.68,4562.72,5384,0,410.64,410.64,0,4562.72,0
4/11/2024 0:00,AKSHAYA CANTEEN,27,33ABWFA2536N1ZZ,Inv No:027,23,1321.18,30387.14,36535,30387.14,2734.84,2734.84,0.32,0,678.5
4/11/2024 0:00,"NILESH IMPEX INDIA [P] LTD.,",28,33AADCN0538Q1Z9,Inv No:028,2,1496.6,2993.2,3532,2993.2,269.39,269.39,0.02,0,0
4/11/2024 0:00,K.SIVATEX,29,33ACIPV1631Q1Z5,Inv No:029,6,1496.6,8979.6,10596,8979.6,808.16,808.16,0.08,0,0
4/12/2024 0:00,"SCM GARMENTS [P] LTD.,",30,33AAJCS7850A1ZI,Inv No:030,6,1366.96,8201.76,9828,8201.76,738.16,738.16,0.08,0,150
4/12/2024 0:00,"SCM GARMENTS [P] LTD.,",31,33AAJCS7850A1ZI,Inv No:031,71,1366.96,97054.16,116299,97054.16,8734.88,8734.88,0.08,0,1775
4/12/2024 0:00,"SCM GARMENTS [P] LTD.,",32,33AAJCS7850A1ZI,Inv No:032,34,1366.96,46476.64,55693,46476.64,4182.9,4182.9,0.56,0,850
4/12/2024 0:00,"SOWPARNIKA INDUSTRIES[P] LTD.,",33,33AASCS1234R1ZS,Inv No:033,11,1496.6,16462.6,19750,16462.6,1481.64,1481.64,0.38,0,324.5
4/12/2024 0:00,WALK IN CUSTOMER,34,,Inv No:034,3,1140.68,3422.04,4038,0,307.98,307.98,0,3422.04,0
4/12/2024 0:00,SARVESWARA SAMAIYAL SANGAMAM,35,33AAOPU6569J1ZV,Inv No:035,2,1447.46,2894.92,3416,2894.92,260.54,260.54,0,0,0
4/13/2024 0:00,KOKARACKO PALLADAM ROAD,38,33BCHPS4589N1ZR,Inv No:038,26,1310.17,34064.42,40196,34064.42,3065.8,3065.8,0.02,0,0
4/13/2024 0:00,HOTEL RAMANAS,39,33AADFH1142H1ZY,Inv No:039,55,1140.68,62737.4,74030,0,5646.36,5646.36,0.12,62737.4,0
4/13/2024 0:00,ANNAPOORNA MILLOR,36,33ABVFA9564F1ZZ,Inv No:036,31,1140.68,35361.08,41726,35361.08,3182.5,3182.5,0.08,0,0
4/13/2024 0:00,ANNAPOORNA RAILWAY,37,33ABVFA9564F1ZZ,Inv No:037,50,1140.68,57034,67300,57034,5133.07,5133.07,0.14,0,0
4/13/2024 0:00,AAHA DOSAI,40,,Inv No:040,2,1444.92,2889.84,3410,2889.84,260.08,260.08,0,0,0
4/13/2024 0:00,WALK IN CUSTOMER,41,,Inv No:041,4,1140.68,4562.72,5384,0,410.64,410.64,0,4562.72,0
4/15/2024 0:00,SATHY SILKS PRIVATE LIMITED,43,33AACCG6357R1Z2,Inv No:043,5,1496.6,7483,8978,7483,673.47,673.47,0.56,0,147.5
4/15/2024 0:00,WALK IN CUSTOMER,42,,Inv No:042,4,1140.68,4562.72,5384,0,410.64,410.64,0,4562.72,0
4/16/2024 0:00,WALK IN CUSTOMER,44,,Inv No:044,3,1140.68,3422.04,4038,0,307.98,307.98,0,3422.04,0
4/17/2024 0:00,AAHA DOSAI,45,,Inv No:045,2,1444.92,2889.84,3410,2889.84,260.09,260.09,0.02,0,0
4/17/2024 0:00,SRI EESHWARI PRINTS,46,33BUPPR8574N1ZI,Inv No:046,2,1377.12,2754.24,3250,2754.24,247.88,247.88,0,0,0
4/17/2024 0:00,WALK IN CUSTOMER,47,,Inv No:047,3,1140.68,3422.04,4038,0,307.98,307.98,0,3422.04,0
4/18/2024 0:00,SARVESWARA SAMAIYAL SANGAMAM,48,33AAOPU6569J1ZV,Inv No:048,2,1447.46,2894.92,3416,2894.92,260.54,260.54,0,0,0
4/18/2024 0:00,SRI VENKATESHWARA HEAT SETTING,49,33AENFS7957R1ZT,Inv No:049,10,2633.9,26339,31080,26339,2370.51,2370.51,0.02,0,0
4/20/2024 0:00,HOTEL RAMANAS,57,33AADFH1142H1ZY,Inv No:057,58,1140.68,66159.44,78068,66159.44,5954.34,5954.34,0.12,0,0
4/20/2024 0:00,ANNAPOORNA MILLOR,51,33ABVFA9564F1ZZ,Inv No:051,53,1140.68,60456.04,71338,60456.04,5441.05,5441.05,0.14,0,0
4/20/2024 0:00,ANNAPOORNA RAILWAY,58,33ABVFA9564F1ZZ,Inv No:058,47,1140.68,53611.96,63262,53611.96,4825.08,4825.08,0.12,0,0
4/20/2024 0:00,AKSHAYA CANTEEN,50,33ABWFA2536N1ZZ,Inv No:050,26,1321.18,34350.68,41301,34350.68,3091.56,3091.56,0.2,0,767
4/20/2024 0:00,"SCM GARMENTS [P] LTD.,",52,33AAJCS7850A1ZI,Inv No:052,6,1366.96,8201.76,9828,8201.76,738.15,738.15,0.06,0,150
4/20/2024 0:00,"SCM GARMENTS [P] LTD.,",53,33AAJCS7850A1ZI,Inv No:053,42,1366.96,57412.32,68797,57412.32,5167.11,5167.11,0.46,0,1050
4/20/2024 0:00,"SOWPARNIKA INDUSTRIES[P] LTD.,",54,33AASCS1234R1ZS,Inv No:054,15,1496.6,22449,26932,22449,2020.4,2020.4,0.3,0,442.5
4/20/2024 0:00,"SCM GARMENTS [P] LTD.,",55,33AAJCS7850A1ZI,Inv No:055,79,1366.96,107989.84,129403,107989.84,9719.08,9719.08,0,0,1975
4/20/2024 0:00,KOKARACKO RESTAURANT,56,33GSEPS5005P1ZB,Inv No:056,21,1310.17,27513.57,32466,27513.57,2476.22,2476.22,0.01,0,0
4/20/2024 0:00,WALK IN CUSTOMER,59,,Inv No:059,2,1140.68,2281.36,2692,0,205.32,205.32,0,2281.36,0
4/20/2024 0:00,"SCM GARMENTS [P] LTD.,",60,33AAJCS7850A1ZI,Inv No:060,11,1366.96,15036.56,18018,15036.56,1353.29,1353.29,0.14,0,275
